jahr,monat,tag,doy,tas
2024,1,1,1,3.1
2024,1,2,2,2
2024,1,3,3,7.9
2024,1,4,4,5
2024,1,5,5,3.2
2024,1,6,6,2.9
2024,1,7,7,-2.2
2024,1,8,8,-6.6
2024,1,9,9,-3.7
2024,1,10,10,-1.7
2024,1,11,11,-2.4
2024,1,12,12,-4.6
2024,1,13,13,-5
2024,1,14,14,-3.3
2024,1,15,15,-3.1
2024,1,16,16,-3.6
2024,1,17,17,-2.7
2024,1,18,18,1.9
2024,1,19,19,-2.6
2024,1,20,20,-4
2024,1,21,21,-3.4
2024,1,22,22,-0.1
2024,1,23,23,3.9
2024,1,24,24,6.3
2024,1,25,25,4.4
2024,1,26,26,4.3
2024,1,27,27,0.5
2024,1,28,28,1.8
2024,1,29,29,2.1
2024,1,30,30,2.6
2024,1,31,31,2.5
2024,2,1,32,4.3
2024,2,2,33,2.2
2024,2,3,34,4.9
2024,2,4,35,6.6
2024,2,5,36,5.3
2024,2,6,37,3.6
2024,2,7,38,6.2
2024,2,8,39,6.3
2024,2,9,40,7.8
2024,2,10,41,9.1
2024,2,11,42,5.4
2024,2,12,43,4.5
2024,2,13,44,4.2
2024,2,14,45,3
2024,2,15,46,7.1
2024,2,16,47,7.9
2024,2,17,48,8.2
2024,2,18,49,6.2
2024,2,19,50,5.3
2024,2,20,51,4.4
2024,2,21,52,5.4
2024,2,22,53,6.2
2024,2,23,54,3.2
2024,2,24,55,4.4
2024,2,25,56,2.4
2024,2,26,57,5.8
2024,2,27,58,3.9
2024,2,28,59,3.4
2024,2,29,60,5.7
2024,3,1,61,5.2
2024,3,2,62,6
2024,3,3,63,8.6
2024,3,4,64,7.5
2024,3,5,65,5.4
2024,3,6,66,5.3
2024,3,7,67,1.8
2024,3,8,68,4.7
2024,3,9,69,7.9
2024,3,10,70,9.6
2024,3,11,71,6.9
2024,3,12,72,5.5
2024,3,13,73,5
2024,3,14,74,6.6
2024,3,15,75,9.3
2024,3,16,76,7.7
2024,3,17,77,6.3
2024,3,18,78,7.2
2024,3,19,79,7
2024,3,20,80,7.9
2024,3,21,81,7.6
2024,3,22,82,8.1
2024,3,23,83,6.5
2024,3,24,84,1.8
2024,3,25,85,3.1
2024,3,26,86,7.6
2024,3,27,87,11.9
2024,3,28,88,5.4
2024,3,29,89,9.8
2024,3,30,90,14.8
2024,3,31,91,12.7
2024,4,1,92,9.6
2024,4,2,93,7
2024,4,3,94,7.8
2024,4,4,95,9.1
2024,4,5,96,13.2
2024,4,6,97,17.2
2024,4,7,98,17.6
2024,4,8,99,19.4
2024,4,9,100,14.8
2024,4,10,101,6.4
2024,4,11,102,10.5
2024,4,12,103,12
2024,4,13,104,13.9
2024,4,14,105,15.5
2024,4,15,106,10.1
2024,4,16,107,4.2
2024,4,17,108,3.3
2024,4,18,109,2.9
2024,4,19,110,2.1
2024,4,20,111,2
2024,4,21,112,1.8
2024,4,22,113,2.5
2024,4,23,114,2.4
2024,4,24,115,4.4
2024,4,25,116,2.4
2024,4,26,117,7.1
2024,4,27,118,11.8
2024,4,28,119,13.8
2024,4,29,120,15.8
2024,4,30,121,19.3
2024,5,1,122,18.4
2024,5,2,123,17.8
2024,5,3,124,10.5
2024,5,4,125,12.4
2024,5,5,126,12.4
2024,5,6,127,13.3
2024,5,7,128,11
2024,5,8,129,10.3
2024,5,9,130,12.5
2024,5,10,131,13.1
2024,5,11,132,14.7
2024,5,12,133,14.2
2024,5,13,134,16.6
2024,5,14,135,15.9
2024,5,15,136,17.3
2024,5,16,137,16.4
2024,5,17,138,11.3
2024,5,18,139,13
2024,5,19,140,13.1
2024,5,20,141,16.5
2024,5,21,142,16.8
2024,5,22,143,13.2
2024,5,23,144,14
2024,5,24,145,13.2
2024,5,25,146,13.3
2024,5,26,147,14.9
2024,5,27,148,15.7
2024,5,28,149,12.7
2024,5,29,150,13.3
2024,5,30,151,14.4
2024,5,31,152,12.3
2024,6,1,153,11.4
2024,6,2,154,14.2
2024,6,3,155,14.4
2024,6,4,156,14.9
2024,6,5,157,16.1
2024,6,6,158,17.7
2024,6,7,159,17.8
2024,6,8,160,19.7
2024,6,9,161,17.4
2024,6,10,162,15.8
2024,6,11,163,10.1
2024,6,12,164,11.8
2024,6,13,165,11.1
2024,6,14,166,13.4
2024,6,15,167,14.9
2024,6,16,168,15
2024,6,17,169,16.4
2024,6,18,170,21.7
2024,6,19,171,21.8
2024,6,20,172,20.6
2024,6,21,173,21.8
2024,6,22,174,16.6
2024,6,23,175,16.8
2024,6,24,176,20.3
2024,6,25,177,21.1
2024,6,26,178,20.8
2024,6,27,179,19.3
2024,6,28,180,20.6
2024,6,29,181,24.7
2024,6,30,182,20.7
2024,7,1,183,16.3
2024,7,2,184,13.5
2024,7,3,185,12.4
2024,7,4,186,13.4
2024,7,5,187,16.6
2024,7,6,188,21.2
2024,7,7,189,14.9
2024,7,8,190,17.4
2024,7,9,191,23.2
2024,7,10,192,23.1
2024,7,11,193,21.4
2024,7,12,194,21.3
2024,7,13,195,17.5
2024,7,14,196,19.4
2024,7,15,197,23
2024,7,16,198,19.8
2024,7,17,199,18.6
2024,7,18,200,20.8
2024,7,19,201,22.6
2024,7,20,202,21.7
2024,7,21,203,23
2024,7,22,204,19.1
2024,7,23,205,18.4
2024,7,24,206,18.3
2024,7,25,207,18.6
2024,7,26,208,18.8
2024,7,27,209,22.1
2024,7,28,210,18.4
2024,7,29,211,19.1
2024,7,30,212,20.2
2024,7,31,213,23.1
2024,8,1,214,21.8
2024,8,2,215,16.8
2024,8,3,216,17.9
2024,8,4,217,19.2
2024,8,5,218,18.2
2024,8,6,219,20.6
2024,8,7,220,22.2
2024,8,8,221,19.4
2024,8,9,222,18.3
2024,8,10,223,21.2
2024,8,11,224,23.5
2024,8,12,225,24.9
2024,8,13,226,24.3
2024,8,14,227,23.1
2024,8,15,228,21.6
2024,8,16,229,23
2024,8,17,230,20.2
2024,8,18,231,19.2
2024,8,19,232,16
2024,8,20,233,20.5
2024,8,21,234,17.7
2024,8,22,235,16.4
2024,8,23,236,20.3
2024,8,24,237,23.6
2024,8,25,238,16.8
2024,8,26,239,15.2
2024,8,27,240,18.5
2024,8,28,241,22.4
2024,8,29,242,22.4
2024,8,30,243,23.7
2024,8,31,244,24.4
2024,9,1,245,23.7
2024,9,2,246,20.9
2024,9,3,247,22
2024,9,4,248,22.5
2024,9,5,249,23.5
2024,9,6,250,21.9
2024,9,7,251,21.7
2024,9,8,252,21.4
2024,9,9,253,14.8
2024,9,10,254,13.1
2024,9,11,255,12.3
2024,9,12,256,7.5
2024,9,13,257,5.8
2024,9,14,258,6.1
2024,9,15,259,6.4
2024,9,16,260,9.5
2024,9,17,261,14.5
2024,9,18,262,16.5
2024,9,19,263,15.4
2024,9,20,264,16.1
2024,9,21,265,16.7
2024,9,22,266,15.6
2024,9,23,267,15.6
2024,9,24,268,13.1
2024,9,25,269,13.3
2024,9,26,270,14.7
2024,9,27,271,13
2024,9,28,272,9.1
2024,9,29,273,6.8
2024,9,30,274,9
2024,10,1,275,10.7
2024,10,2,276,10.5
2024,10,3,277,9
2024,10,4,278,9
2024,10,5,279,7.7
2024,10,6,280,8.1
2024,10,7,281,11.5
2024,10,8,282,15.3
2024,10,9,283,14.2
2024,10,10,284,11.6
2024,10,11,285,8
2024,10,12,286,7.6
2024,10,13,287,9.4
2024,10,14,288,7.3
2024,10,15,289,10.1
2024,10,16,290,10.7
2024,10,17,291,15.9
2024,10,18,292,14.6
2024,10,19,293,11.9
2024,10,20,294,10.8
2024,10,21,295,13.1
2024,10,22,296,12.2
2024,10,23,297,11.3
2024,10,24,298,11.8
2024,10,25,299,10.4
2024,10,26,300,10.9
2024,10,27,301,10.2
2024,10,28,302,10.9
2024,10,29,303,10.4
2024,10,30,304,9.7
2024,10,31,305,7.5
2024,11,1,306,7.8
2024,11,2,307,8.6
2024,11,3,308,5
2024,11,4,309,6.4
2024,11,5,310,5.2
2024,11,6,311,6.6
2024,11,7,312,6.4
2024,11,8,313,3.8
2024,11,9,314,5.1
2024,11,10,315,2.1
2024,11,11,316,1.7
2024,11,12,317,-0.3
2024,11,13,318,-1
2024,11,14,319,1.6
2024,11,15,320,3.7
2024,11,16,321,3.3
2024,11,17,322,1.9
2024,11,18,323,3.5
2024,11,19,324,6.2
2024,11,20,325,1.4
2024,11,21,326,-1.6
2024,11,22,327,-2.3
2024,11,23,328,-0.2
2024,11,24,329,2.4
2024,11,25,330,6.1
2024,11,26,331,3.7
2024,11,27,332,4.7
2024,11,28,333,3.3
2024,11,29,334,2.9
2024,11,30,335,0.1
2024,12,1,336,-0.3
2024,12,2,337,2.8
2024,12,3,338,1.9
2024,12,4,339,2.2
2024,12,5,340,-0.5
2024,12,6,341,2.5
2024,12,7,342,3.7
2024,12,8,343,3.1
2024,12,9,344,0
2024,12,10,345,1.5
2024,12,11,346,0.3
2024,12,12,347,-0.8
2024,12,13,348,-1.9
2024,12,14,349,-1.3
2024,12,15,350,0.3
2024,12,16,351,4
2024,12,17,352,5.3
2024,12,18,353,3.7
2024,12,19,354,5.7
2024,12,20,355,0.7
2024,12,21,356,0.7
2024,12,22,357,2.9
2024,12,23,358,0.3
2024,12,24,359,0.1
2024,12,25,360,-1.6
2024,12,26,361,-1.2
2024,12,27,362,-0
2024,12,28,363,2.6
2024,12,29,364,0.8
2024,12,30,365,-2.6
2024,12,31,366,-0.6
